1	z	0	<sos>	None	None	None	None	None	None	None
2	=	1	z	None	None	None	None	None	None	None
3	\frac	2	=	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	2	4	above	None	None	None	None	None	None	None
6	i	5	2	None	None	None	None	None	None	None
7	+	6	i	None	None	None	None	None	None	None
8	3	7	+	None	None	None	None	None	None	None
9	-	8	3	None	None	None	None	None	None	None
10	3	9	-	None	None	None	None	None	None	None
11	i	10	3	None	None	None	None	None	None	None
12	<eos>	11	i	None	None	None	None	None	None	None
13	2	4	below	None	None	None	None	None	None	None
14	+	13	2	None	None	None	None	None	None	None
15	i	14	+	None	None	None	None	None	None	None
16	<eos>	15	i	None	None	None	None	None	None	None
17	=	4	right	None	None	None	None	None	None	None
18	\frac	17	=	None	None	None	None	None	None	None
19	struct	18	\frac	above	below	None	None	None	None	right
20	3	19	above	None	None	None	None	None	None	None
21	-	20	3	None	None	None	None	None	None	None
22	i	21	-	None	None	None	None	None	None	None
23	<eos>	22	i	None	None	None	None	None	None	None
24	2	19	below	None	None	None	None	None	None	None
25	+	24	2	None	None	None	None	None	None	None
26	i	25	+	None	None	None	None	None	None	None
27	<eos>	26	i	None	None	None	None	None	None	None
28	=	19	right	None	None	None	None	None	None	None
29	1	28	=	None	None	None	None	None	None	None
30	-	29	1	None	None	None	None	None	None	None
31	i	30	-	None	None	None	None	None	None	None
32	<eos>	31	i	None	None	None	None	None	None	None
