1	(	0	<sos>	None	None	None	None	None	None	None
2	m	1	(	None	None	None	None	None	None	None
3	+	2	m	None	None	None	None	None	None	None
4	n	3	+	None	None	None	None	None	None	None
5	)	4	n	None	None	None	None	None	None	None
6	struct	5	)	None	None	None	sup	None	None	right
7	2	6	sup	None	None	None	None	None	None	None
8	<eos>	7	2	None	None	None	None	None	None	None
9	=	6	right	None	None	None	None	None	None	None
10	m	9	=	None	None	None	None	None	None	None
11	struct	10	m	None	None	None	sup	None	None	right
12	2	11	sup	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	+	11	right	None	None	None	None	None	None	None
15	2	14	+	None	None	None	None	None	None	None
16	m	15	2	None	None	None	None	None	None	None
17	n	16	m	None	None	None	None	None	None	None
18	+	17	n	None	None	None	None	None	None	None
19	n	18	+	None	None	None	None	None	None	None
20	struct	19	n	None	None	None	sup	None	None	right
21	2	20	sup	None	None	None	None	None	None	None
22	<eos>	21	2	None	None	None	None	None	None	None
23	=	20	right	None	None	None	None	None	None	None
24	9	23	=	None	None	None	None	None	None	None
25	<eos>	24	9	None	None	None	None	None	None	None
